Region,Sector,Subsector,Energético,Energia estimada
IX,Transporte,Terrestre,Petróleo Combustible,0.0
IX,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,89.41033999999999
IX,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.07311
IX,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,19.535
IX,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.18809
IX,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,0.43528
IX,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,20.75061
IX,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,8.09432
IX,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,20.729899
IX,Industrial y Minero,"Todos, IM",Gas Licuado,10.009094000000001
IX,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,35.245767
IX,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,1.5070919999999999
IX,Transporte,Terrestre,Gas Licuado,0.768998
IX,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Natural,4.73357096
IX,Industrial y Minero,"Todos, IM",Gas Natural,0.0
IX,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Natural,3.235518
IX,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Natural,1.4790647899999998
IX,Transporte,"Todos, T",Gas Natural,0.0
IX,Energético: Consumo Propio,"Todos, CP",Gas Natural,0.00579489
X,Transporte,Terrestre,Diesel,382.05144
X,Transporte,Terrestre,Gasolina Aviacion,0.0
X,Transporte,Terrestre,Gasolina Motor,287.89925
X,Transporte,Terrestre,Kerosene,11.727129999999999
X,Transporte,Terrestre,Kerosene Aviacion,0.0
X,Transporte,Terrestre,Petróleo Combustible,0.0
X,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,260.85202
X,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.11698
X,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,8.38391
X,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.01473
X,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,0.10739
X,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,16.703259999999997
X,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,11.727129999999999
X,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,25.005712
X,Industrial y Minero,"Todos, IM",Gas Licuado,27.251903
X,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,29.61569
X,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,2.70953
X,Transporte,Terrestre,Gas Licuado,0.834904
X,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Natural,3.84982618831
X,Industrial y Minero,"Todos, IM",Gas Natural,2.79866272
X,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Natural,2.6074383297
X,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Natural,0.0
X,Transporte,"Todos, T",Gas Natural,0.0
X,Energético: Consumo Propio,"Todos, CP",Gas Natural,0.0
XI,Transporte,Terrestre,Diesel,49.44551
XI,Transporte,Terrestre,Gasolina Aviacion,0.0
XI,Transporte,Terrestre,Gasolina Motor,35.45212
XI,Transporte,Terrestre,Kerosene,4.5766800000000005
XI,Transporte,Terrestre,Kerosene Aviacion,0.0
XI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,89.38522999999999
XI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.19747
XI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,0.93258
XI,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.054
XI,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,1.43884
