Sector,Subsector,Energético,Unidad,SEC Tcal,BNE Tcal,Dif %,Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt),Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt),Categoría INGEI
Plantas de Gas,Plantas de Gas,Biomasa,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Biogás,Millones m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Geotermia,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Diésel,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Kerosene,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Nafta,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Electricidad,Gwh,,3.982161042,,,,,,Industria de la energía
Plantas de Gas,Plantas de Gas,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Gas Coque,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Alquitrán,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Industria de la energía
Plantas de Gas,Plantas de Gas,Metanol,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gas Natural,Millones m3,,3214.884318,,,,0.6798082336266457,0.6791448265589909,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Carbón,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Biomasa,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Biogás,Millones m3,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Geotermia,Gwh,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Diésel,Mil m3,,27.59713112,,,,0.008156097091970694,0.008128256989085002,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Kerosene,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gas Licuado,Mil ton,,27.1365611,,,,0.0064535006773813,0.006447900915571897,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Nafta,Mil m3,,99.48674426,,,,0.029086108131937984,0.0289857454825047,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gas de Refinería,Mil m3,,1.40691332,,,,0.0003224171186144792,0.0003221106661057536,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,D.i. de Petróleo,Mil ton,,2366.560324,,,,0.0023873960890669734,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Electricidad,Gwh,,496.208304,,,,,,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gas Coque,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Alquitrán,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
