nombre_region,cod_region,Sector,Subsector,Energético,BNE Tcal,Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt)
Región Metropolitana de Santiago,13,Industrial y Minero,Cobre,Kerosene de Aviación,0.053946,1.54618334424468e-05,1.5331356097200002e-05
Región de Los Ríos,14,Industrial y Minero,Cobre,Kerosene de Aviación,0.010042947,2.8784779925355127e-06,2.8541874600954004e-06
Región del Maule,7,Industrial y Minero,Agroindustria,Carbón,61.379142,0.02459020545454831,0.02307954436860336
Región de Los Lagos,10,Industrial y Minero,Agroindustria,Carbón,12.5685,0.0050352935408496,0.00472595810148
Región Metropolitana de Santiago,13,Industrial y Minero,Agroindustria,Kerosene,0.0314685,9.025069010446442e-06,8.993323454220002e-06
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Agroindustria,Kerosene de Aviación,0.638361,0.0001829650290689538,0.0001814210471502
Región de Ñuble,16,Industrial y Minero,Azúcar,Carbón,370.41312,0.14839788284854577,0.13928128936296957
Región de Ñuble,16,Industrial y Minero,Azúcar,Coque Mineral,19.40211,0.008305539526855114,0.008251787230595999
Región Metropolitana de Santiago,13,Industrial y Minero,Cemento,Carbón,4.151,0.0016630070006816,0.0015608427480799999
Región de Atacama,3,Industrial y Minero,Cemento,Coque de Petróleo,307.419,0.11944820710765655,0.11913808151699999
Región de Valparaíso,5,Industrial y Minero,Cemento,Coque de Petróleo,379.8625417460002,0.1475962759586007,0.14721306901587017
Región del Maule,7,Industrial y Minero,Cemento,Coque de Petróleo,306.67,0.11915718180628082,0.11884781181000002
Región del Biobío,8,Industrial y Minero,Cemento,Coque de Petróleo,257.569061112,0.10007892341147043,0.09981908665052781
Región Metropolitana de Santiago,13,Industrial y Minero,Cemento,Coque de Petróleo,442.323,0.17186539970684953,0.171419182389
Región de Valparaíso,5,Industrial y Minero,Construcción,Kerosene,0.62937,0.00018050138020892878,0.00017986646908439997
Región Metropolitana de Santiago,13,Industrial y Minero,Construcción,Kerosene,1.008862128,0.0002893385552926211,0.00028832081090031934
Región del Biobío,8,Industrial y Minero,Construcción,Kerosene de Aviación,1.9780200000000003,0.0005669338928897161,0.000562149723564
Región Metropolitana de Santiago,13,Industrial y Minero,Construcción,Kerosene de Aviación,2.06793,0.0005927036152937941,0.000587701983726
Región de Atacama,3,Industrial y Minero,Hierro,Carbón,74.865,0.029993018334384003,0.0281504438292
Región de La Araucanía,9,Industrial y Minero,Industria Lactea,Carbón,7.70952,0.0030886498992760323,0.0028989034890816003
Región Metropolitana de Santiago,13,Industrial y Minero,Minas Varias,Carbón,8.577156,0.0034362492107776893,0.00322514857666848
Región de Tarapacá,1,Industrial y Minero,Minas Varias,Kerosene de Aviación,56.103840000000005,0.016080306780144674,0.015944610341088003
Región de Antofagasta,2,Industrial y Minero,Minas Varias,Kerosene de Aviación,117.30557700000001,0.03362175682060057,0.033338033833361404
Región del Biobío,8,Industrial y Minero,Minas Varias,Kerosene de Aviación,9.053937,0.0025950110460906542,0.0025731125983134
Región de Los Lagos,10,Industrial y Minero,Pesca,Carbón,7.623,0.0030539875611168,0.00286637057784
Región de Antofagasta,2,Industrial y Minero,Pesca,Coque de Petróleo,112.147,0.043574919190103284,0.04346178482100001
Región del Biobío,8,Industrial y Minero,Pesca,Kerosene,0.40459500000000004,0.00011603660156288283,0.00011562844441140003
Región de Antofagasta,2,Industrial y Minero,Salitre,Kerosene de Aviación,97.327575,0.027895724502414437,0.027660321625365
Región Metropolitana de Santiago,13,Industrial y Minero,Siderurgia,Coque de Petróleo,37.5817467,0.014602455486775663,0.014564542861358097
Región del Biobío,8,Industrial y Minero,Siderurgia,Gas Altos Hornos,69.59,0.0681468672760992,0.06813250704
Región del Biobío,8,Industrial y Minero,Siderurgia,Gas Coque,588.641,0.2507133266498046,0.2503511364076
Región Metropolitana de Santiago,13,Industrial y Minero,Siderurgia,Kerosene,0.1411587,4.048388098971688e-05,4.0341479494643994e-05
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Agroindustria,Biomasa,21.7771295,0.0007523772108537271,0.0
Región de La Araucanía,9,Industrial y Minero,Agroindustria,Biomasa,11.665828000000001,0.0004030422436042049,0.0
