Region,Año,variable,factor,pib,valor_salitre,demanda,demanda_regional
VII,2043,salitre,0.0,10050.40663940449,0.0,2520.0,0.0
VII,2044,salitre,0.0,10213.30022894042,0.0,2535.0,0.0
VII,2045,salitre,0.0,10378.83394264882,0.0,2550.0,0.0
VII,2046,salitre,0.0,10541.86115379748,0.0,2565.0,0.0
VII,2047,salitre,0.0,10702.17821063002,0.0,2580.0,0.0
VII,2048,salitre,0.0,10864.93331500811,0.0,2595.0,0.0
VII,2049,salitre,0.0,11024.73107727622,0.0,2610.0,0.0
VII,2050,salitre,0.0,11186.87909095273,0.0,2625.0,0.0
VIII,2017,cemento,0.07718735406070083,10075.57448251563,,3995.38,308.3928106670429
VIII,2018,cemento,0.1119977018178635,10515.59234908449,,3992.8,447.1844238183654
VIII,2019,cemento,0.1563933873693092,10654.68263825134,,4081.9,638.3821679027832
VIII,2020,cemento,0.1001406010807669,10047.04949988198,,3796.98,380.2318594916503
VIII,2021,cemento,0.1493955814072971,11198.84068645881,,4388.2,655.5776903315011
VIII,2022,cemento,0.1493955814072971,11440.92365411503,,3802.114,568.019031606824
VIII,2023,cemento,0.1493955814072971,11464.24113304354,,3802.114,568.019031606824
VIII,2024,cemento,0.1493955814072971,11687.29844510509,,3802.114,568.019031606824
VIII,2025,cemento,0.1493955814072971,11936.31723817632,,3802.114,568.019031606824
VIII,2026,cemento,0.1493955814072971,12193.56621966274,,3802.114,568.019031606824
VIII,2027,cemento,0.1493955814072971,12755.10825888302,,3802.114,568.019031606824
VIII,2028,cemento,0.1493955814072971,13006.66180294702,,3802.114,568.019031606824
VIII,2029,cemento,0.1493955814072971,13275.32777441802,,3802.114,568.019031606824
VIII,2030,cemento,0.1493955814072971,13549.69666909294,,3802.114,568.019031606824
VIII,2031,cemento,0.1493955814072971,13834.31902526941,,3802.114,568.019031606824
VIII,2032,cemento,0.1493955814072971,14125.96257930317,,3802.114,568.019031606824
VIII,2033,cemento,0.1493955814072971,14423.03326021513,,3802.114,568.019031606824
VIII,2034,cemento,0.1493955814072971,14724.19001982262,,3802.114,568.019031606824
VIII,2035,cemento,0.1493955814072971,15028.1644898719,,3802.114,568.019031606824
VIII,2036,cemento,0.1493955814072971,15330.4828925553,,3802.114,568.019031606824
VIII,2037,cemento,0.1493955814072971,15638.88297052663,,3802.114,568.019031606824
